order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,country,payment_method,order_status,order_timestamp
ORD-104950,CUST-10309,PROD-1149,Kitchen Scale,Home,2,136.94,273.88,Germany,PayPal,Completed,2026-01-01 00:04:05
ORD-100802,CUST-11288,PROD-1109,Hoodie,Apparel,3,83.1,249.3,United Kingdom,PayPal,Completed,2026-01-01 00:28:19
ORD-102074,CUST-10959,PROD-1123,Sports Bottle,Sports,2,66.79,133.58,Brazil,Credit Card,Shipped,2026-01-01 01:33:54
ORD-104806,CUST-10340,PROD-1019,Bluetooth Speaker,Electronics,1,103.3,103.3,United States,Debit Card,Cancelled,2026-01-01 01:50:30
ORD-100315,CUST-12365,PROD-1145,Jeans,Apparel,2,91.97,183.94,Mexico,Credit Card,Completed,2026-01-01 02:01:10
ORD-103258,CUST-10152,PROD-1100,Vacuum Cleaner,Home,1,249.05,249.05,Brazil,Credit Card,Shipped,2026-01-01 02:26:42
ORD-101793,CUST-11270,PROD-1104,Jacket,Apparel,2,68.43,136.86,Australia,PayPal,Completed,2026-01-01 02:36:41
ORD-100901,CUST-11229,PROD-1058,Bluetooth Speaker,Electronics,1,141.56,141.56,Mexico,Digital Wallet,Cancelled,2026-01-01 03:59:49
ORD-100953,CUST-12494,PROD-1132,Data Engineering Guide,Books,1,32.95,32.95,Germany,Credit Card,Completed,2026-01-01 04:42:21
ORD-102884,CUST-12159,PROD-1140,Mechanical Keyboard,Electronics,3,326.33,978.99,Brazil,PayPal,Completed,2026-01-01 04:50:55
ORD-101747,CUST-11967,PROD-1088,Smart Watch,Electronics,2,841.22,1682.44,Canada,PayPal,Cancelled,2026-01-01 05:51:48
ORD-101976,CUST-10801,PROD-1122,Mechanical Keyboard,Electronics,1,159.25,159.25,United States,Credit Card,Shipped,2026-01-01 07:36:36
ORD-100790,CUST-10450,PROD-1018,Bluetooth Speaker,Electronics,2,334.99,669.98,United States,Debit Card,Completed,2026-01-01 08:00:53
ORD-102972,CUST-10939,PROD-1063,Dumbbell Set,Sports,1,146.34,146.34,Australia,Bank Transfer,Completed,2026-01-01 08:19:14
ORD-102492,CUST-11040,PROD-1054,Dumbbell Set,Sports,1,183.7,183.7,Spain,Bank Transfer,Shipped,2026-01-01 08:27:14
ORD-104533,CUST-10044,PROD-1147,Air Fryer,Home,2,237.16,474.32,United States,Credit Card,Completed,2026-01-01 08:45:46
ORD-109224,CUST-11046,PROD-1123,SQL Mastery,Books,1,75.67,75.67,Brazil,PayPal,Completed,2026-01-01 09:11:17
ORD-108840,CUST-11211,PROD-1106,Jeans,Apparel,2,54.04,108.08,Mexico,Digital Wallet,Shipped,2026-01-01 09:27:05
ORD-103773,CUST-10624,PROD-1148,Resistance Bands,Sports,4,225.85,903.4,United Kingdom,Digital Wallet,Completed,2026-01-01 09:36:35
ORD-102698,CUST-12093,PROD-1139,Yoga Mat,Sports,1,281.9,281.9,Mexico,PayPal,Shipped,2026-01-01 10:03:04
ORD-109334,CUST-10294,PROD-1070,Desk Lamp,Home,1,32.42,32.42,United Kingdom,Credit Card,Shipped,2026-01-01 10:03:52
ORD-108638,CUST-10927,PROD-1145,T-Shirt,Apparel,1,149.95,149.95,Canada,Digital Wallet,Cancelled,2026-01-01 10:10:54
ORD-106076,CUST-10915,PROD-1140,Vacuum Cleaner,Home,2,62.19,124.38,Spain,Digital Wallet,Cancelled,2026-01-01 10:24:47
ORD-102384,CUST-12479,PROD-1126,Air Fryer,Home,2,70.97,141.94,Canada,Credit Card,Completed,2026-01-01 10:25:58
ORD-108842,CUST-10299,PROD-1139,Wireless Headphones,Electronics,2,290.83,581.66,Brazil,Credit Card,Completed,2026-01-01 10:31:04
ORD-109529,CUST-10835,PROD-1145,Python Handbook,Books,1,60.07,60.07,United States,Credit Card,Completed,2026-01-01 10:47:08
ORD-103444,CUST-11789,PROD-1134,Data Engineering Guide,Books,3,15.6,46.8,Mexico,Credit Card,Processing,2026-01-01 11:14:14
ORD-107353,CUST-11453,PROD-1058,Running Shoes,Apparel,1,170.15,170.15,Brazil,Digital Wallet,Completed,2026-01-01 11:26:11
ORD-106585,CUST-12279,PROD-1134,Coffee Maker,Home,1,235,235,Australia,Debit Card,Completed,2026-01-01 13:21:11
ORD-103016,CUST-12390,PROD-1006,Dumbbell Set,Sports,1,28.57,28.57,United States,PayPal,Processing,2026-01-01 15:22:26
ORD-100750,CUST-10652,PROD-1033,Smart Watch,Electronics,1,498.12,498.12,Mexico,Debit Card,Completed,2026-01-01 17:40:55
ORD-103902,CUST-11740,PROD-1030,Cloud Computing Basics,Books,2,52.27,104.54,United States,Credit Card,Processing,2026-01-01 19:46:28
ORD-107779,CUST-11603,PROD-1094,Jeans,Apparel,1,108.27,108.27,United States,PayPal,Completed,2026-01-01 19:54:11
ORD-100102,CUST-10513,PROD-1020,Coffee Maker,Home,1,109.65,109.65,United States,Debit Card,Completed,2026-01-01 21:08:09
ORD-102663,CUST-11883,PROD-1077,Running Shoes,Apparel,2,147.03,294.06,United States,Credit Card,Cancelled,2026-01-01 22:27:04
ORD-108656,CUST-10183,PROD-1073,Running Shoes,Apparel,1,141.77,141.77,Mexico,Credit Card,Completed,2026-01-01 22:37:13
ORD-105166,CUST-11025,PROD-1056,Wireless Headphones,Electronics,2,453,906,Canada,Debit Card,Completed,2026-01-01 23:43:46
ORD-105810,CUST-11978,PROD-1114,Bluetooth Speaker,Electronics,1,407.63,407.63,United States,Bank Transfer,Shipped,2026-01-02 01:08:37
ORD-107996,CUST-11092,PROD-1024,Bluetooth Speaker,Electronics,1,61.3,61.3,United States,Digital Wallet,Completed,2026-01-02 01:17:41
ORD-104909,CUST-11878,PROD-1074,Jeans,Apparel,1,40.95,40.95,Germany,Bank Transfer,Shipped,2026-01-02 01:44:50
ORD-105654,CUST-10380,PROD-1030,Bluetooth Speaker,Electronics,2,725.52,1451.04,United Kingdom,PayPal,Completed,2026-01-02 01:47:24
ORD-102550,CUST-12314,PROD-1007,Vacuum Cleaner,Home,2,314.38,628.76,Germany,PayPal,Cancelled,2026-01-02 02:44:30
ORD-103167,CUST-10841,PROD-1013,Mechanical Keyboard,Electronics,1,195.15,195.15,United States,PayPal,Completed,2026-01-02 03:01:55
ORD-108383,CUST-11655,PROD-1010,Sports Bottle,Sports,1,86.36,86.36,United States,Debit Card,Completed,2026-01-02 03:25:05
ORD-101109,CUST-11622,PROD-1094,Smart Watch,Electronics,2,651.53,1303.06,Australia,Credit Card,Completed,2026-01-02 03:52:21
ORD-102009,CUST-11321,PROD-1109,Coffee Maker,Home,2,323.97,647.94,Mexico,Credit Card,Cancelled,2026-01-02 03:59:19
ORD-101205,CUST-11408,PROD-1026,Sports Bottle,Sports,3,194.89,584.67,Mexico,Credit Card,Shipped,2026-01-02 04:41:51
ORD-102771,CUST-11253,PROD-1118,USB-C Hub,Electronics,3,70.32,210.96,Spain,Debit Card,Processing,2026-01-02 06:04:11
ORD-108161,CUST-12330,PROD-1074,Bluetooth Speaker,Electronics,3,67.93,203.79,Mexico,Credit Card,Completed,2026-01-02 06:21:17
ORD-104028,CUST-12216,PROD-1127,Resistance Bands,Sports,1,61.37,61.37,Brazil,Debit Card,Processing,2026-01-02 06:25:23
ORD-106895,CUST-10126,PROD-1011,SQL Mastery,Books,3,14.57,43.71,United States,Credit Card,Cancelled,2026-01-02 06:32:49
ORD-100097,CUST-11426,PROD-1100,Coffee Maker,Home,1,303.88,303.88,United States,Credit Card,Completed,2026-01-02 07:06:11
ORD-109806,CUST-11313,PROD-1045,Dumbbell Set,Sports,1,94.33,94.33,United Kingdom,Credit Card,Completed,2026-01-02 07:39:07
ORD-102968,CUST-12009,PROD-1018,Python Handbook,Books,2,11.64,23.28,Mexico,Credit Card,Completed,2026-01-02 07:39:13
ORD-103173,CUST-11984,PROD-1125,Smart Watch,Electronics,1,249.14,249.14,Germany,Credit Card,Completed,2026-01-02 08:09:20
ORD-103610,CUST-12199,PROD-1122,Jeans,Apparel,1,166.82,166.82,United States,Debit Card,Completed,2026-01-02 08:09:51
ORD-103421,CUST-11714,PROD-1041,Jacket,Apparel,1,184.47,184.47,United Kingdom,PayPal,Completed,2026-01-02 08:28:47
ORD-108773,CUST-11735,PROD-1130,Desk Lamp,Home,1,110.23,110.23,Canada,Credit Card,Completed,2026-01-02 08:51:54
ORD-101915,CUST-10618,PROD-1099,Dumbbell Set,Sports,2,25.48,50.96,Spain,PayPal,Completed,2026-01-02 10:47:22
ORD-100549,CUST-10725,PROD-1007,Resistance Bands,Sports,2,275.53,551.06,United States,Credit Card,Completed,2026-01-02 11:57:37
ORD-107376,CUST-11785,PROD-1016,Jacket,Apparel,2,198.78,397.56,United Kingdom,Bank Transfer,Processing,2026-01-02 12:15:21
ORD-108875,CUST-10061,PROD-1029,Wireless Headphones,Electronics,2,469.07,938.14,United States,Credit Card,Processing,2026-01-02 13:26:15
ORD-100693,CUST-12299,PROD-1061,Smart Watch,Electronics,1,305.04,305.04,Spain,PayPal,Completed,2026-01-02 14:11:53
ORD-101753,CUST-11909,PROD-1117,Wireless Headphones,Electronics,1,310.68,310.68,Australia,Bank Transfer,Cancelled,2026-01-02 14:24:50
ORD-105632,CUST-10646,PROD-1143,Wireless Headphones,Electronics,1,511.1,511.1,Canada,PayPal,Completed,2026-01-02 14:29:38
ORD-102034,CUST-10768,PROD-1095,Jeans,Apparel,1,135.53,135.53,United States,PayPal,Completed,2026-01-02 14:39:48
ORD-100323,CUST-10483,PROD-1099,Smart Watch,Electronics,1,82.9,82.9,Canada,Credit Card,Shipped,2026-01-02 15:14:26
ORD-106343,CUST-11341,PROD-1045,Dumbbell Set,Sports,1,186.36,186.36,Mexico,Credit Card,Completed,2026-01-02 16:07:06
ORD-108569,CUST-11073,PROD-1026,Mechanical Keyboard,Electronics,1,616.31,616.31,United States,Credit Card,Cancelled,2026-01-02 17:04:43
ORD-108796,CUST-11760,PROD-1083,Mechanical Keyboard,Electronics,1,556.05,556.05,United Kingdom,Debit Card,Shipped,2026-01-02 17:21:33
ORD-101470,CUST-12364,PROD-1064,Jacket,Apparel,2,17.2,34.4,Mexico,Credit Card,Completed,2026-01-02 17:53:06
ORD-106948,CUST-10807,PROD-1114,Data Engineering Guide,Books,5,29.58,147.9,Australia,PayPal,Completed,2026-01-02 18:34:19
ORD-101711,CUST-11718,PROD-1042,Bluetooth Speaker,Electronics,2,465.12,930.24,Australia,Credit Card,Processing,2026-01-02 18:43:24
ORD-109066,CUST-11673,PROD-1122,Wireless Headphones,Electronics,4,599.13,2396.52,United Kingdom,Credit Card,Completed,2026-01-02 19:12:31
ORD-101481,CUST-11393,PROD-1081,Bluetooth Speaker,Electronics,2,162.03,324.06,United States,Credit Card,Completed,2026-01-02 19:19:10
ORD-107032,CUST-11671,PROD-1018,T-Shirt,Apparel,2,143.64,287.28,United States,Debit Card,Cancelled,2026-01-02 19:49:23
ORD-107169,CUST-10360,PROD-1009,USB-C Hub,Electronics,3,707.82,2123.46,Mexico,Debit Card,Completed,2026-01-02 20:36:58
ORD-103206,CUST-12483,PROD-1039,Resistance Bands,Sports,3,125.76,377.28,United States,Credit Card,Completed,2026-01-02 22:10:57
ORD-106295,CUST-11345,PROD-1124,Cloud Computing Basics,Books,1,50.49,50.49,United States,Debit Card,Cancelled,2026-01-02 22:19:20
ORD-105955,CUST-12355,PROD-1004,Jacket,Apparel,1,30.89,30.89,Germany,Credit Card,Processing,2026-01-02 23:31:39
ORD-102237,CUST-12320,PROD-1057,Smart Watch,Electronics,1,146.21,146.21,United Kingdom,Credit Card,Processing,2026-01-02 23:59:51
ORD-100360,CUST-12068,PROD-1022,Air Fryer,Home,3,86.16,258.48,Germany,Credit Card,Completed,2026-01-03 00:33:41
ORD-104579,CUST-12271,PROD-1090,Running Shoes,Apparel,2,216.78,433.56,United States,Debit Card,Cancelled,2026-01-03 01:05:10
ORD-102338,CUST-12216,PROD-1091,USB-C Hub,Electronics,2,313.04,626.08,Mexico,Debit Card,Processing,2026-01-03 02:26:47
ORD-104600,CUST-12114,PROD-1082,Wireless Headphones,Electronics,3,169.36,508.08,Spain,Credit Card,Completed,2026-01-03 02:40:52
ORD-106621,CUST-11180,PROD-1043,Kitchen Scale,Home,2,385.95,771.9,Germany,PayPal,Shipped,2026-01-03 02:47:34
ORD-102879,CUST-10349,PROD-1053,Smart Watch,Electronics,3,774.34,2323.02,United States,Digital Wallet,Cancelled,2026-01-03 03:40:20
ORD-109874,CUST-11063,PROD-1042,Running Shoes,Apparel,2,76.27,152.54,Mexico,Credit Card,Completed,2026-01-03 04:00:57
ORD-103190,CUST-12474,PROD-1076,Vacuum Cleaner,Home,1,100.55,100.55,Mexico,Credit Card,Completed,2026-01-03 04:31:09
ORD-109231,CUST-11775,PROD-1028,Mechanical Keyboard,Electronics,1,149.4,149.4,Germany,Credit Card,Cancelled,2026-01-03 05:04:00
ORD-106492,CUST-11582,PROD-1056,Coffee Maker,Home,3,209.63,628.89,Canada,Credit Card,Cancelled,2026-01-03 05:06:11
ORD-100191,CUST-11593,PROD-1031,Data Engineering Guide,Books,2,54.04,108.08,Germany,Credit Card,Shipped,2026-01-03 05:30:31
ORD-106184,CUST-11304,PROD-1076,Mechanical Keyboard,Electronics,1,430.8,430.8,Canada,Credit Card,Processing,2026-01-03 05:35:48
ORD-109883,CUST-11327,PROD-1018,Cloud Computing Basics,Books,1,42.98,42.98,United Kingdom,PayPal,Shipped,2026-01-03 05:38:12
ORD-108558,CUST-11850,PROD-1074,Sports Bottle,Sports,2,159.78,319.56,United States,Digital Wallet,Completed,2026-01-03 05:39:34
ORD-100242,CUST-10329,PROD-1054,Data Engineering Guide,Books,1,26.73,26.73,Mexico,Debit Card,Processing,2026-01-03 06:43:53
ORD-109722,CUST-11193,PROD-1087,Training Gloves,Sports,1,80.14,80.14,Mexico,Credit Card,Completed,2026-01-03 07:35:59
ORD-105623,CUST-10990,PROD-1136,Yoga Mat,Sports,1,278.93,278.93,Germany,Credit Card,Processing,2026-01-03 08:25:34
